name,common_name,type,type_fr,ra_h,dec_deg,size_w_arcmin,size_h_arcmin,mag,filter,messier
NGC7814,,G,galaxie,0.0541,16.1454,4.37,1.88,10.6,sans,
NGC0016,,G,galaxie,0.1512,27.7294,1.74,0.85,12.0,sans,
NGC0023,,G,galaxie,0.1648,25.9238,1.55,1.22,11.98,sans,
NGC0024,,G,galaxie,0.1657,-24.9631,6.18,2.40,11.52,sans,
NGC0040,Bow-Tie nebula,PN,nebuleuse planetaire,0.217,72.5219,0.80,0.80,11.89,LP,
NGC0045,,G,galaxie,0.2344,-23.1821,6.18,4.44,10.44,sans,
NGC0055,,G,galaxie,0.2482,-39.1966,29.85,3.05,8.54,sans,
NGC0057,,G,galaxie,0.2586,17.3285,2.11,1.60,11.65,sans,
IC0010,,G,galaxie,0.3382,59.3038,6.76,6.03,10.35,sans,
NGC0104,47 Tuc Cluster,GCl,amas globulaire,0.4015,-72.0814,31.80,31.80,4.09,sans,
NGC0103,,OCl,amas ouvert,0.4212,61.3235,2.70,2.70,9.8,sans,
NGC0121,,GCl,amas globulaire,0.4467,-71.5357,3.80,3.10,11.24,sans,
NGC0128,,G,galaxie,0.4875,2.8641,3.16,0.87,11.63,sans,
NGC0129,,OCl,amas ouvert,0.4995,60.2112,5.40,5.40,6.5,sans,
NGC0134,,G,galaxie,0.5061,-33.244,8.38,1.79,10.31,sans,
NGC0133,,OCl,amas ouvert,0.5214,63.3526,2.10,2.10,9.4,sans,
NGC0146,,OCl,amas ouvert,0.5511,63.309,3.60,3.60,9.1,sans,
NGC0147,,G,galaxie,0.5534,48.5087,9.40,5.41,9.72,sans,
NGC0151,,G,galaxie,0.5674,-9.7053,3.74,2.31,11.66,sans,
NGC0150,,G,galaxie,0.571,-27.8036,3.54,1.60,11.41,sans,
NGC0185,,G,galaxie,0.6494,48.3374,12.94,10.76,9.2,sans,
NGC0189,,OCl,amas ouvert,0.6599,61.0945,2.70,2.70,8.8,sans,
M110,,G,galaxie,0.6728,41.6853,16.22,9.59,8.15,sans,110
NGC0210,,G,galaxie,0.6764,-13.8728,4.98,3.02,11.12,sans,
M32,,G,galaxie,0.7116,40.8653,7.74,4.86,8.13,sans,32
M31,Andromeda Galaxy,G,galaxie,0.7123,41.2691,177.83,69.66,3.44,sans,31
NGC0225,,OCl,amas ouvert,0.7268,61.7669,4.20,4.20,7.0,sans,
NGC0246,,PN,nebuleuse planetaire,0.7843,-11.8719,4.08,4.08,10.9,LP,
NGC0247,,G,galaxie,0.7857,-20.7604,19.68,5.55,9.21,sans,
NGC0188,,OCl,amas ouvert,0.791,85.2696,17.70,17.70,8.1,sans,
NGC0254,,G,galaxie,0.791,-31.4218,2.77,1.80,11.67,sans,
NGC0253,Sculptor Filament,G,galaxie,0.7925,-25.2882,26.79,4.58,11.11,sans,
NGC0255,,G,galaxie,0.7965,-11.4687,2.04,1.85,11.93,sans,
NGC0266,,G,galaxie,0.8299,32.2777,2.92,2.83,11.82,sans,
NGC0290,,OCl,amas ouvert,0.8539,-73.1615,1.10,1.10,11.71,sans,
NGC0278,,G,galaxie,0.8679,47.5505,2.36,2.30,10.85,sans,
NGC0289,,G,galaxie,0.8784,-31.2058,3.36,2.51,11.18,sans,
NGC0292,Small Magellanic Cloud,G,galaxie,0.8791,-72.8286,299.92,179.89,2.3,sans,
NGC0288,,GCl,amas globulaire,0.8798,-26.5899,9.60,9.60,8.13,sans,
NGC0299,,OCl,amas ouvert,0.89,-72.1971,0.90,0.90,11.73,sans,
NGC0300,,G,galaxie,0.9149,-37.6844,19.41,13.06,8.66,sans,
NGC0330,,OCl,amas ouvert,0.9382,-72.4629,2.80,2.50,9.55,sans,
NGC0315,,G,galaxie,0.9636,30.3524,2.86,2.14,11.6,sans,
IC1611,,OCl,amas ouvert,0.9966,-72.3323,1.50,1.50,11.96,sans,
NGC0337,,G,galaxie,0.9972,-7.578,2.92,1.89,11.48,sans,
NGC0361,,OCl,amas ouvert,1.0362,-71.6047,2.60,2.60,11.77,sans,
NGC0362,,GCl,amas globulaire,1.054,-70.8482,8.70,8.70,6.58,sans,
NGC0376,,OCl,amas ouvert,1.0648,-72.8237,1.80,1.80,10.9,sans,
IC1613,,G,galaxie,1.0799,2.1178,18.32,17.14,9.54,sans,
NGC0416,,GCl,amas globulaire,1.1329,-72.3551,1.70,1.70,11.76,sans,
NGC0419,,GCl,amas globulaire,1.1381,-72.8835,2.80,2.80,10.5,sans,
NGC0381,,OCl,amas ouvert,1.1383,61.5833,6.00,6.00,9.3,sans,
IC1644,,HII,region HII,1.1536,-73.1941,0.80,0.65,11.7,LP,
NGC0404,,G,galaxie,1.1575,35.7181,3.40,3.37,10.55,sans,
IC1633,,G,galaxie,1.1654,-45.9312,2.90,2.16,11.39,sans,
NGC0410,,G,galaxie,1.183,33.1519,2.37,1.60,11.48,sans,
NGC0428,,G,galaxie,1.2155,0.9816,2.82,2.08,11.47,sans,
NGC0458,,OCl,amas ouvert,1.2482,-71.5527,2.60,2.30,11.66,sans,
NGC0436,,OCl,amas ouvert,1.266,58.8171,5.70,5.70,8.8,sans,
NGC0457,Owl Cluster,OCl,amas ouvert,1.3257,58.2907,7.80,7.80,6.4,sans,
NGC0470,,G,galaxie,1.3291,3.4099,2.86,1.62,11.79,sans,
NGC0474,,G,galaxie,1.3352,3.4154,2.65,2.44,11.52,sans,
NGC0488,,G,galaxie,1.363,5.2567,5.05,3.66,10.26,sans,
NGC0507,,G,galaxie,1.3944,33.2561,2.45,1.66,11.57,sans,
NGC0514,,G,galaxie,1.4011,12.9174,3.50,2.50,11.71,sans,
NGC0521,,G,galaxie,1.4094,1.7314,2.77,2.59,11.8,sans,
NGC0520 NED01,,G,galaxie,1.4096,3.7949,4.09,1.61,11.47,sans,
NGC0524,,G,galaxie,1.4133,9.5388,3.37,3.35,10.35,sans,
NGC0533,,G,galaxie,1.4254,1.7591,3.44,2.41,11.47,sans,
NGC0559,,OCl,amas ouvert,1.4925,63.3014,9.00,9.00,9.5,sans,
IC0127,,G,galaxie,1.4966,-6.9801,1.69,0.45,9.2,sans,
NGC0578,,G,galaxie,1.5081,-22.6674,4.82,2.92,11.09,sans,
NGC0584,,G,galaxie,1.5224,-6.8681,3.78,2.51,10.35,sans,
NGC0596,,G,galaxie,1.5478,-7.0318,2.14,1.58,10.95,sans,
M103,,OCl,amas ouvert,1.5561,60.658,4.50,4.50,7.4,sans,103
M33,Triangulum Galaxy,G,galaxie,1.5641,30.6602,62.09,36.73,5.79,sans,33
IC0143,,HII,region HII,1.5697,30.7764,0.30,0.30,11.4,LP,
IC0136,,*Ass,association d'etoiles,1.5711,30.5621,,,11.04,sans,
NGC0613,,G,galaxie,1.5717,-29.4184,5.48,4.51,10.35,sans,
NGC0615,,G,galaxie,1.5849,-7.3403,3.18,1.16,11.66,sans,
NGC0609,,OCl,amas ouvert,1.6066,64.5366,4.80,4.80,11.0,sans,
M74,,G,galaxie,1.6116,15.7837,9.89,9.33,9.31,sans,74
NGC0636,,G,galaxie,1.6518,-7.5126,2.70,2.30,11.41,sans,
M76,Barbell Nebula,PN,nebuleuse planetaire,1.7055,51.5755,1.12,1.12,10.1,LP,76
NGC0660,,G,galaxie,1.7173,13.6451,4.57,1.69,11.29,sans,
NGC0637,,OCl,amas ouvert,1.7175,64.0366,4.50,4.50,8.2,sans,
NGC0654,,OCl,amas ouvert,1.7332,61.8827,6.30,6.30,6.5,sans,
NGC0659,,OCl,amas ouvert,1.7397,60.6692,4.20,4.20,7.9,sans,
NGC0663,,OCl,amas ouvert,1.7711,61.2182,6.00,6.00,7.1,sans,
IC1727,,G,galaxie,1.7916,27.3334,6.52,2.44,11.57,sans,
NGC0685,,G,galaxie,1.7952,-52.7618,3.01,2.30,11.5,sans,
NGC0672,,G,galaxie,1.7985,27.4328,7.01,2.71,10.92,sans,
NGC0676,,G,galaxie,1.8159,5.9075,2.75,0.69,12.0,sans,
NGC0681,,G,galaxie,1.8197,-10.4264,2.47,1.77,11.87,sans,
NGC0680,,G,galaxie,1.8298,21.9709,1.69,1.56,11.9,sans,
NGC0691,,G,galaxie,1.8449,21.7599,2.68,1.85,11.73,sans,
NGC0674,,G,galaxie,1.8549,22.358,3.81,1.26,11.97,sans,
IC0166,,OCl,amas ouvert,1.8733,61.8526,7.50,7.50,11.7,sans,
NGC0720,,G,galaxie,1.8835,-13.7387,4.49,2.37,10.14,sans,
NGC0718,,G,galaxie,1.887,4.1958,2.75,2.46,11.66,sans,
NGC0741,,G,galaxie,1.9392,5.6289,2.83,2.33,11.26,sans,
NGC0752,,OCl,amas ouvert,1.9597,37.8334,39.00,39.00,5.7,sans,
IC1747,,PN,nebuleuse planetaire,1.9599,63.3218,0.22,0.22,12.0,LP,
NGC0744,,OCl,amas ouvert,1.975,55.4746,11.70,11.70,7.9,sans,
NGC0772,,G,galaxie,1.9888,19.0075,4.57,2.52,10.3,sans,
NGC0779,,G,galaxie,1.9951,-5.9632,1.35,0.58,11.21,sans,
NGC0777,,G,galaxie,2.0041,31.4296,2.75,2.06,11.46,sans,
NGC0784,,G,galaxie,2.0214,28.8372,4.17,1.07,11.73,sans,
NGC0821,,G,galaxie,2.1392,10.9949,2.45,2.10,10.77,sans,
NGC0864,,G,galaxie,2.2577,6.0026,3.72,2.57,11.07,sans,
NGC0877,,G,galaxie,2.2999,14.5441,1.92,1.47,11.86,sans,
NGC0869,h Persei Cluster,OCl,amas ouvert,2.3163,57.1172,14.40,14.40,3.7,sans,
NGC0897,,G,galaxie,2.3518,-33.7207,2.01,1.43,11.85,sans,
NGC0895,,G,galaxie,2.3601,-5.5214,3.32,2.22,11.77,sans,
NGC0890,,G,galaxie,2.3669,33.2661,1.10,0.67,11.87,sans,
NGC0884,chi Persei Cluster,OCl,amas ouvert,2.3756,57.1441,10.50,10.50,3.8,sans,
NGC0891,,G,galaxie,2.3759,42.3491,13.03,3.03,10.01,sans,
NGC0908,,G,galaxie,2.3846,-21.2339,6.14,2.82,10.31,sans,
NGC0922,,G,galaxie,2.4179,-24.7882,2.10,1.77,12.0,sans,
NGC0925,,G,galaxie,2.4547,33.5792,10.72,5.75,10.12,sans,
NGC0936,,G,galaxie,2.4604,-1.1563,4.44,3.18,10.23,sans,
NGC0955,,G,galaxie,2.5092,-1.1084,2.72,0.88,11.96,sans,
NGC0949,,G,galaxie,2.5135,37.1368,3.10,1.35,11.89,sans,
NGC0956,,OCl,amas ouvert,2.5419,44.5935,4.50,4.50,8.9,sans,
IC1805,,Cl+N,amas + nebuleuse,2.5449,61.4569,60.00,60.00,6.5,LP,
NGC0957,,OCl,amas ouvert,2.5553,57.5697,10.20,10.20,7.6,sans,
NGC0986,,G,galaxie,2.5595,-39.0451,3.77,3.03,10.91,sans,
NGC0972,,G,galaxie,2.5704,29.3113,3.31,1.61,11.33,sans,
NGC0988,,G,galaxie,2.591,-9.3562,4.33,1.73,11.21,sans,
IC0239,,G,galaxie,2.6077,38.9699,4.25,4.01,11.2,sans,
NGC1016,,G,galaxie,2.6388,2.1193,2.26,1.36,11.64,sans,
NGC1022,,G,galaxie,2.6424,-6.6774,2.60,1.50,11.35,sans,
NGC1003,,G,galaxie,2.6547,40.8723,3.47,0.83,11.51,sans,
NGC1032,,G,galaxie,2.6566,1.0938,3.58,0.86,11.67,sans,
NGC1023,,G,galaxie,2.6733,39.0633,7.40,3.06,9.47,sans,
NGC1042,,G,galaxie,2.6733,-8.4336,3.87,2.13,11.22,sans,
NGC1052,,G,galaxie,2.6847,-8.2558,2.94,2.07,11.04,sans,
NGC1055,,G,galaxie,2.6959,0.4432,6.92,3.53,10.6,sans,
M34,,OCl,amas ouvert,2.7021,42.7461,22.50,22.50,5.2,sans,34
NGC1027,,OCl,amas ouvert,2.7097,61.5944,7.80,7.80,6.7,sans,
M77,,G,galaxie,2.7113,-0.0133,6.11,5.61,9.29,sans,77
NGC1060,,G,galaxie,2.7208,32.425,2.36,1.75,11.82,sans,
NGC1058,,G,galaxie,2.725,37.3413,2.47,1.36,11.25,sans,
NGC1073,,G,galaxie,2.7279,1.3761,3.54,2.23,11.05,sans,
NGC1079,,G,galaxie,2.729,-29.0034,2.65,1.49,11.44,sans,
NGC1084,,G,galaxie,2.7666,-7.5785,3.40,2.25,10.6,sans,
NGC1097,,G,galaxie,2.772,-30.2749,10.57,6.44,9.76,sans,
NGC1087,,G,galaxie,2.7737,-0.4986,2.97,1.80,11.02,sans,
NGC1090,,G,galaxie,2.7761,-0.2472,3.31,1.46,11.97,sans,
IC1848,,Cl+N,amas + nebuleuse,2.8529,60.4025,40.00,10.00,6.5,LP,
NGC1156,,G,galaxie,2.9951,25.2378,2.96,2.34,11.63,sans,
NGC1161,,G,galaxie,3.0206,44.8973,2.69,1.84,11.89,sans,
NGC1172,,G,galaxie,3.0267,-14.8366,2.28,1.64,11.75,sans,
NGC1187,,G,galaxie,3.0438,-22.8672,4.14,3.02,10.92,sans,
NGC1179,,G,galaxie,3.044,-18.8978,3.67,2.51,12.0,sans,
NGC1169,,G,galaxie,3.0597,46.3864,3.31,1.95,11.41,sans,
NGC1199,,G,galaxie,3.0607,-15.6132,2.83,2.32,11.43,sans,
NGC1201,,G,galaxie,3.0689,-26.0696,3.41,1.96,10.81,sans,
NGC1209,,G,galaxie,3.1008,-15.6113,2.25,0.94,11.38,sans,
IC0284,,G,galaxie,3.1028,42.3719,4.29,2.15,11.59,sans,
NGC1232,,G,galaxie,3.1626,-20.5793,6.79,5.77,10.11,sans,
NGC1249,,G,galaxie,3.167,-53.3358,3.64,1.44,11.77,sans,
NGC1220,,OCl,amas ouvert,3.1946,53.3482,2.40,2.40,11.8,sans,
NGC1261,,GCl,amas globulaire,3.2043,-55.2168,5.10,5.10,8.63,sans,
NGC1255,,G,galaxie,3.2256,-25.7252,4.05,2.24,11.17,sans,
NGC1253,,G,galaxie,3.2358,-2.8229,4.57,1.86,11.78,sans,
NGC1245,,OCl,amas ouvert,3.2449,47.2387,11.40,11.40,8.4,sans,
NGC1269,,G,galaxie,3.2885,-41.1081,11.17,9.93,8.7,sans,
NGC1265,,G,galaxie,3.3043,41.8578,1.90,1.63,11.92,sans,
NGC1313,,G,galaxie,3.3045,-66.4982,11.07,9.14,9.49,sans,
NGC1272,,G,galaxie,3.3226,41.4906,2.55,1.25,11.88,sans,
NGC1300,,G,galaxie,3.3281,-19.4114,5.96,3.06,10.52,sans,
NGC1302,,G,galaxie,3.3309,-26.0604,4.27,3.90,10.63,sans,
NGC1305,,G,galaxie,3.3564,-2.3168,1.33,0.94,11.97,sans,
NGC1309,,G,galaxie,3.3685,-15.4001,2.39,2.24,11.58,sans,
NGC1316,Fornax A,G,galaxie,3.3783,-37.2082,13.46,7.71,8.48,sans,
NGC1317,Fornax B,G,galaxie,3.379,-37.1037,3.10,2.58,10.88,sans,
NGC1326,,G,galaxie,3.399,-36.4647,4.28,2.93,10.45,sans,
NGC1325,,G,galaxie,3.4071,-21.544,4.32,1.50,11.54,sans,
NGC1332,,G,galaxie,3.4381,-21.3352,5.31,3.84,10.36,sans,
NGC1339,,G,galaxie,3.4685,-32.2861,2.01,1.47,11.75,sans,
NGC1340,,G,galaxie,3.4721,-31.0682,5.12,3.12,10.37,sans,
NGC1333,,Cl+N,amas + nebuleuse,3.482,31.37,19.50,19.50,10.9,LP,
NGC1351,,G,galaxie,3.5097,-34.8539,3.40,2.20,11.46,sans,
NGC1350,,G,galaxie,3.5189,-33.6286,5.18,2.60,10.31,sans,
IC1954,,G,galaxie,3.5254,-51.9048,2.99,1.71,11.58,sans,
NGC1342,,OCl,amas ouvert,3.5278,37.3794,6.30,6.30,6.7,sans,
NGC1353,,G,galaxie,3.5342,-20.8192,3.64,1.47,11.46,sans,
NGC1360,,PN,nebuleuse planetaire,3.5541,-25.8717,6.42,6.42,9.4,LP,
NGC1357,,G,galaxie,3.5547,-13.6641,3.37,2.55,11.44,sans,
NGC1365,,G,galaxie,3.5601,-36.1404,12.02,6.14,10.1,sans,
IC1953,,G,galaxie,3.5616,-21.4786,2.26,1.19,11.96,sans,
NGC1366,,G,galaxie,3.5649,-31.1941,2.05,0.94,11.91,sans,
NGC1367,,G,galaxie,3.5837,-24.9332,4.88,3.26,10.66,sans,
NGC1374,,G,galaxie,3.5879,-35.2263,2.86,2.65,11.14,sans,
NGC1379,,G,galaxie,3.6011,-35.4412,2.66,2.55,11.02,sans,
NGC1380,,G,galaxie,3.6077,-34.9762,4.58,2.22,9.94,sans,
NGC1381,,G,galaxie,3.6088,-35.2952,2.54,0.96,11.47,sans,
NGC1386,,G,galaxie,3.6128,-35.9994,3.59,1.35,11.86,sans,
NGC1387,,G,galaxie,3.6159,-35.5066,3.01,2.89,10.75,sans,
NGC1389,,G,galaxie,3.6199,-35.7456,2.58,1.43,11.51,sans,
NGC1385,,G,galaxie,3.6247,-24.5003,3.40,2.13,11.03,sans,
NGC1399,,G,galaxie,3.6414,-35.4507,8.51,7.69,9.4,sans,
NGC1395,,G,galaxie,3.6416,-23.0275,4.71,3.97,9.65,sans,
NGC1411,,G,galaxie,3.6458,-44.1006,2.45,1.76,11.19,sans,
NGC1398,,G,galaxie,3.6478,-26.3378,6.95,4.91,9.55,sans,
NGC1404,,G,galaxie,3.6478,-35.5944,5.01,4.38,9.93,sans,
NGC1406,,G,galaxie,3.6565,-31.3214,4.50,0.90,11.82,sans,
NGC1400,,G,galaxie,3.6586,-18.6881,2.81,2.52,11.06,sans,
NGC1407,,G,galaxie,3.67,-18.5801,5.73,5.27,9.65,sans,
NGC1415,,G,galaxie,3.6825,-22.5645,3.74,1.51,11.53,sans,
NGC1433,,G,galaxie,3.7004,-47.2221,6.19,2.96,9.95,sans,
NGC1425,,G,galaxie,3.7032,-29.8933,4.91,2.15,10.7,sans,
NGC1427,,G,galaxie,3.7054,-35.3926,4.33,2.87,10.88,sans,
NGC1421,,G,galaxie,3.7081,-13.488,3.55,0.75,11.52,sans,
NGC1426,,G,galaxie,3.7136,-22.1084,2.86,1.92,11.47,sans,
NGC1436,,G,galaxie,3.727,-35.853,2.97,2.08,11.69,sans,
NGC1448,,G,galaxie,3.7422,-44.6448,8.02,1.53,10.94,sans,
NGC1466,,GCl,amas globulaire,3.7426,-71.6716,3.50,3.50,11.59,sans,
NGC1439,,G,galaxie,3.7472,-21.9206,2.96,2.83,11.39,sans,
NGC1440,,G,galaxie,3.7508,-18.266,2.62,1.99,11.63,sans,
IC0334,,G,galaxie,3.7547,76.6383,2.34,1.85,11.5,sans,
NGC1452,,G,galaxie,3.7562,-18.6336,2.39,1.76,11.84,sans,
NGC1453,,G,galaxie,3.7742,-3.9688,2.46,1.87,11.41,sans,
IC0342,,G,galaxie,3.7801,68.0964,19.77,18.79,9.68,sans,
IC1993,,G,galaxie,3.7847,-33.7099,2.81,2.48,11.9,sans,
IC0351,,PN,nebuleuse planetaire,3.7925,35.0469,0.12,0.12,11.9,LP,
NGC1461,,G,galaxie,3.8075,-16.3929,2.90,0.85,11.81,sans,
NGC1444,,OCl,amas ouvert,3.8247,52.6553,3.60,3.60,6.6,sans,
IC2051,,G,galaxie,3.8669,-83.8307,2.86,1.72,11.23,sans,
IC2006,,G,galaxie,3.9079,-35.9671,2.36,1.98,11.34,sans,
NGC1487 NED01,,G,galaxie,3.9293,-42.3677,2.34,2.04,11.9,sans,
NGC1487 NED02,,G,galaxie,3.9298,-42.3686,3.72,1.70,11.68,sans,
IC2003,,PN,nebuleuse planetaire,3.9395,33.8749,0.14,0.14,11.4,LP,
NGC1493,,G,galaxie,3.9576,-46.2107,3.44,3.18,11.44,sans,
NGC1494,,G,galaxie,3.9619,-48.9081,3.51,1.86,11.95,sans,
NGC1511,,G,galaxie,3.9936,-67.6343,3.66,1.47,11.3,sans,
NGC1499,California Nebula,Neb,nebuleuse,4.054,36.3675,160.00,40.00,5.0,LP,
NGC1512,,G,galaxie,4.0651,-43.3489,8.43,4.02,10.37,sans,
NGC1515,,G,galaxie,4.0674,-54.1001,5.50,1.26,10.99,sans,
NGC1496,,OCl,amas ouvert,4.0755,52.6614,2.10,2.10,9.6,sans,
NGC1518,,G,galaxie,4.1138,-21.1726,3.47,1.30,11.79,sans,
NGC1501,,PN,nebuleuse planetaire,4.1165,60.9207,0.87,0.87,11.5,LP,
IC0356,,G,galaxie,4.1297,69.8124,4.02,3.73,10.24,sans,
NGC1502,,OCl,amas ouvert,4.1304,62.3315,10.20,10.20,6.9,sans,
NGC1521,,G,galaxie,4.1386,-21.052,3.25,2.02,11.57,sans,
NGC1527,,G,galaxie,4.14,-47.897,4.58,1.79,10.8,sans,
IC2035,,G,galaxie,4.1505,-45.5175,1.41,1.17,11.75,sans,
NGC1514,,PN,nebuleuse planetaire,4.1547,30.7759,2.20,2.20,10.19,LP,
NGC1533,,G,galaxie,4.1644,-56.1184,3.27,2.04,10.65,sans,
NGC1513,,OCl,amas ouvert,4.1652,49.5173,5.10,5.10,8.4,sans,
NGC1532,,G,galaxie,4.2012,-32.8742,11.27,3.09,10.13,sans,
NGC1543,,G,galaxie,4.212,-57.738,3.66,0.86,10.17,sans,
NGC1537,,G,galaxie,4.228,-31.6454,4.35,2.76,10.72,sans,
NGC1535,,PN,nebuleuse planetaire,4.2377,-12.7394,0.85,0.85,9.6,LP,
NGC1546,,G,galaxie,4.2435,-56.0608,3.72,2.50,11.35,sans,
NGC1528,,OCl,amas ouvert,4.2552,51.2115,9.60,9.60,6.4,sans,
NGC1549,,G,galaxie,4.2625,-55.5922,5.09,4.35,9.75,sans,
NGC1553,,G,galaxie,4.2696,-55.7801,6.25,4.29,9.31,sans,
IC2056,,G,galaxie,4.2735,-60.2068,1.85,1.61,11.87,sans,
NGC1559,,G,galaxie,4.2933,-62.7837,4.19,2.18,10.6,sans,
IC0361,,OCl,amas ouvert,4.3141,58.2495,7.20,7.20,11.7,sans,
NGC1566,,G,galaxie,4.3335,-54.9378,7.23,5.00,9.73,sans,
NGC1545,,OCl,amas ouvert,4.349,50.2553,4.20,4.20,6.2,sans,
NGC1574,,G,galaxie,4.3663,-56.9748,4.13,2.32,10.24,sans,
NGC1555,Hind's Nebula,RfN,nebuleuse par reflexion,4.3665,19.5352,1.82,1.35,9.98,sans,
NGC1530,,G,galaxie,4.3909,75.2956,1.82,1.04,11.7,sans,
NGC1596,,G,galaxie,4.4606,-55.0278,3.87,1.02,11.14,sans,
NGC1587,,G,galaxie,4.5111,0.6616,2.08,1.48,11.7,sans,
NGC1589,,G,galaxie,4.5126,0.8637,3.06,0.98,11.81,sans,
NGC1569,,G,galaxie,4.5136,64.8479,3.91,2.16,11.11,sans,
IC2067,,Neb,nebuleuse,4.5142,35.4462,,,11.49,LP,
NGC1617,,G,galaxie,4.5276,-54.6023,5.24,2.50,10.37,sans,
NGC1600,,G,galaxie,4.5278,-5.0862,3.33,2.02,10.97,sans,
NGC1582,,OCl,amas ouvert,4.5297,43.7848,7.80,7.80,7.0,sans,
NGC1560,,G,galaxie,4.547,71.8831,8.30,1.68,11.5,sans,
NGC1605,,OCl,amas ouvert,4.5812,45.2714,3.30,3.30,10.7,sans,
NGC1573,,G,galaxie,4.5844,73.2624,1.95,1.32,11.79,sans,
NGC1624,,Cl+N,amas + nebuleuse,4.6768,50.4617,3.00,3.00,11.8,LP,
NGC1637,,G,galaxie,4.6912,-2.858,3.18,2.74,10.85,sans,
NGC1640,,G,galaxie,4.704,-20.4348,2.72,2.60,11.69,sans,
NGC1841,,GCl,amas globulaire,4.7565,-83.9991,4.00,4.00,11.43,sans,
NGC1672,,G,galaxie,4.7618,-59.2472,6.14,5.46,10.16,sans,
NGC1653,,G,galaxie,4.7632,-2.3928,1.79,1.68,11.97,sans,
NGC1647,,OCl,amas ouvert,4.7654,19.0951,27.00,27.00,6.4,sans,
NGC1688,,G,galaxie,4.8066,-59.8003,2.47,1.67,11.85,sans,
NGC1662,,OCl,amas ouvert,4.808,10.9304,13.80,13.80,6.4,sans,
IC2105,,Cl+N,amas + nebuleuse,4.8241,-69.2009,0.65,0.60,11.3,LP,
NGC1679,,G,galaxie,4.8318,-31.9647,3.07,2.23,11.62,sans,
NGC1704,,OCl,amas ouvert,4.8321,-69.7563,1.70,1.60,11.5,sans,
NGC1711,,GCl,amas globulaire,4.8434,-69.9854,3.50,3.30,11.1,sans,
NGC1664,,OCl,amas ouvert,4.8515,43.6762,11.40,11.40,7.6,sans,
NGC1714,,Cl+N,amas + nebuleuse,4.8691,-66.9234,1.10,1.10,11.61,LP,
NGC1703,,G,galaxie,4.8812,-59.7422,2.68,2.51,11.69,sans,
NGC1743,,Neb,nebuleuse,4.9007,-69.1986,0.95,0.85,11.26,LP,
NGC1751,,GCl,amas globulaire,4.9035,-69.8058,1.60,1.50,11.73,sans,
NGC1754,,GCl,amas globulaire,4.9053,-70.4425,1.60,1.60,11.57,sans,
NGC1735,,OCl,amas ouvert,4.9055,-67.0996,1.80,1.50,10.76,sans,
NGC1747,,OCl,amas ouvert,4.9197,-67.1689,4.40,4.40,9.37,sans,
NGC1755,,GCl,amas globulaire,4.9208,-68.2041,2.20,1.90,9.85,sans,
NGC1767,,OCl,amas ouvert,4.9409,-69.4006,1.30,1.20,10.61,sans,
NGC1761,,*Ass,association d'etoiles,4.9438,-66.4789,4.20,3.00,9.94,sans,
NGC1763,,Cl+N,amas + nebuleuse,4.947,-66.4091,5.20,3.60,9.4,LP,
NGC1772,,OCl,amas ouvert,4.948,-69.5561,1.50,1.40,10.97,sans,
NGC1700,,G,galaxie,4.949,-4.8658,3.11,1.98,11.16,sans,
NGC1782,,OCl,amas ouvert,4.9642,-69.3922,1.20,1.10,10.5,sans,
NGC1774,,OCl,amas ouvert,4.9686,-67.2423,1.70,1.50,10.76,sans,
NGC1786,,GCl,amas globulaire,4.9855,-67.7452,2.00,2.00,10.1,sans,
NGC1783,,GCl,amas globulaire,4.9858,-65.9873,5.30,4.70,10.93,sans,
NGC1726,,G,galaxie,4.995,-7.7553,2.90,1.82,11.65,sans,
NGC1744,,G,galaxie,4.9994,-26.0222,5.28,1.99,11.5,sans,
NGC1804,,OCl,amas ouvert,5.0176,-69.0826,0.95,0.85,11.87,sans,
NGC1787,,OCl,amas ouvert,5.029,-65.8233,24.00,14.00,10.92,sans,
NGC1806,,GCl,amas globulaire,5.0368,-67.9857,2.50,2.50,11.1,sans,
NGC1810,,OCl,amas ouvert,5.0565,-66.3818,1.20,1.10,11.9,sans,
NGC1746,,OCl,amas ouvert,5.0639,23.7676,18.00,18.00,6.1,sans,
NGC1820,,OCl,amas ouvert,5.0671,-67.2659,7.00,5.40,11.5,sans,
NGC1818,,GCl,amas globulaire,5.0708,-66.4345,3.10,2.70,9.7,sans,
NGC1835,,GCl,amas globulaire,5.0852,-69.4039,2.30,2.00,10.6,sans,
NGC1834,,OCl,amas ouvert,5.0865,-69.2075,0.95,0.85,11.82,sans,
NGC1792,,G,galaxie,5.0873,-37.9808,5.52,2.76,10.16,sans,
NGC1784,,G,galaxie,5.0909,-11.8715,4.00,1.79,11.6,sans,
NGC1845,,*Ass,association d'etoiles,5.0958,-70.5816,8.90,5.60,10.2,sans,
NGC1839,,OCl,amas ouvert,5.1007,-68.6268,1.60,1.60,11.8,sans,
NGC1831,,GCl,amas globulaire,5.1046,-64.9175,3.80,3.20,11.18,sans,
NGC1788,,RfN,nebuleuse par reflexion,5.1148,-3.341,2.00,2.00,5.8,sans,
NGC1848,,OCl,amas ouvert,5.1242,-71.1954,2.20,2.00,9.73,sans,
NGC1846,,GCl,amas globulaire,5.1261,-67.4615,3.80,3.80,11.31,sans,
NGC1808,,G,galaxie,5.1284,-37.5131,5.42,1.83,10.21,sans,
NGC1778,,OCl,amas ouvert,5.1349,37.0228,4.50,4.50,7.7,sans,
